wavelengths;phytoplankton;cryptophyta;cyanobacteria;diatoms;dinoflagellates;green algae;brown algae;cyanobacteria blue;cyanobacteria red
656;0.0123;0.005492;0.009112;0.013622823;0.016144;0.013505;0.010130532;0.014769769;0.013457069
657;0.0127;0.005879;0.009426;0.014131504;0.016422;0.013609;0.010750944;0.014974577;0.013924243
658;0.013;0.006301;0.009759;0.014686179;0.016731;0.013718;0.011371356;0.015179385;0.014391418
659;0.0134;0.006757;0.010101;0.015287559;0.01708;0.013852;0.012130122;0.015538943;0.014901355
660;0.0138;0.007241;0.010456;0.015935406;0.017465;0.01403;0.012888887;0.0158985;0.015411293
661;0.0143;0.007733;0.010831;0.016627446;0.01789;0.014268;0.013806325;0.016396158;0.015990958
662;0.0148;0.00823;0.01123;0.017360408;0.018358;0.014574;0.014723763;0.016893816;0.016570623
663;0.0154;0.008733;0.011653;0.018129552;0.018864;0.014958;0.015744914;0.017479375;0.017222405
664;0.0159;0.009269;0.012107;0.018927768;0.019416;0.015423;0.016766064;0.018064933;0.017874188
665;0.0166;0.009809;0.012586;0.019743522;0.020001;0.015969;0.01774236;0.018698349;0.018596706
666;0.0172;0.010309;0.013101;0.020563226;0.020623;0.016594;0.018718656;0.019331765;0.019319225
667;0.0178;0.010779;0.013632;0.021370764;0.021272;0.017291;0.019615553;0.019970017;0.020060188
668;0.0184;0.011217;0.014132;0.022146228;0.021932;0.018049;0.02051245;0.020608269;0.020801151
669;0.0191;0.011617;0.014589;0.022867024;0.022601;0.018851;0.021271742;0.021205357;0.02145736
670;0.0196;0.011975;0.015004;0.023509294;0.023246;0.019675;0.022031034;0.021802446;0.022113569
671;0.0201;0.012293;0.015354;0.024049022;0.02386;0.020491;0.02259561;0.022292006;0.022554572
672;0.0205;0.012571;0.015632;0.024463614;0.024413;0.021264;0.023160186;0.022781567;0.022995574
673;0.0208;0.012785;0.015855;0.02473411;0.024876;0.021954;0.023513001;0.023142548;0.023289222
674;0.021;0.01291;0.01603;0.024846922;0.025231;0.02252;0.023865816;0.023503529;0.02358287
675;0.0211;0.012955;0.016164;0.02479573;0.025457;0.022921;0.023882908;0.023701765;0.023741435
676;0.021;0.012943;0.01625;0.024581324;0.025538;0.023127;0.0239;0.0239;0.0239
677;0.0208;0.012866;0.016285;0.024211446;0.025469;0.023116;0.023503908;0.023891918;0.023906179
678;0.0204;0.012712;0.016273;0.02370158;0.025253;0.022884;0.023107816;0.023883835;0.023912357
679;0.02;0.012472;0.016168;0.023070686;0.024899;0.02244;0.022372063;0.023616459;0.023719271
680;0.0194;0.012148;0.01596;0.022340884;0.024423;0.021807;0.021636311;0.023349083;0.023526185
681;0.0188;0.011739;0.015634;0.021536822;0.023852;0.021019;0.020556376;0.022795733;0.022912139
682;0.0181;0.011259;0.015185;0.020681094;0.023199;0.020115;0.019476441;0.022242382;0.022298092
683;0.0173;0.010691;0.014643;0.019794872;0.022504;0.019132;0.018136662;0.021442868;0.0214416
684;0.0166;0.010051;0.014048;0.018896958;0.021772;0.018109;0.016796884;0.020643354;0.020585108
685;0.0158;0.009364;0.013328;0.01800331;0.021032;0.017075;0.015433069;0.019655479;0.019517798
686;0.0151;0.008644;0.012517;0.01712641;0.0203;0.016056;0.014069253;0.018667605;0.018450488
687;0.0144;0.007921;0.011705;0.016274948;0.019578;0.015069;0.012745371;0.017560844;0.017253492
688;0.0137;0.007196;0.010894;0.015455892;0.018891;0.014128;0.01142149;0.016454082;0.016056495
689;0.013;0.006471;0.010082;0.014674471;0.018227;0.013239;0.010199344;0.01530958;0.014860447
690;0.0124;0.00579;0.009271;0.013932803;0.017602;0.012408;0.008977198;0.014165078;0.013664399
691;0.0118;0.005162;0.008474;0.013232121;0.017013;0.011634;0.007968777;0.013106174;0.012518744
692;0.0113;0.004574;0.007703;0.012572929;0.016458;0.010919;0.006960355;0.01204727;0.011373089
693;0.0108;0.004046;0.006963;0.011954754;0.015946;0.010259;0.006130133;0.011073813;0.010355594
694;0.0103;0.003581;0.006296;0.011376063;0.015461;0.009651;0.00529991;0.010100356;0.009338099
695;0.0099;0.003174;0.005675;0.010834724;0.015015;0.009093;0.004659167;0.009225583;0.008435034
696;0.0095;0.002813;0.005066;0.010329013;0.014598;0.008579;0.004018425;0.008350809;0.007531968
697;0.0091;0.002499;0.004524;0.009857035;0.01421;0.008108;0.003597085;0.007618931;0.006807115
698;0.0088;0.002233;0.004116;0.009416579;0.013852;0.007675;0.003175746;0.006887053;0.006082262
